group,mae,max_abs,mse,n_values,rmse,task
right_arm,0.0012943490657370152,0.028830409049987793,3.099698246696265e-06,57344,0.0017605959919005452,PnPNovelFromCuttingboardToTieredbasketSplitA
right_hand,0.0003089892497314395,0.028170406818389893,8.251846211512752e-07,49152,0.000908396731142993,PnPNovelFromCuttingboardToTieredbasketSplitA
waist,0.0012969470510408125,0.04992955923080444,3.3129153611550593e-06,24576,0.0018201415772282823,PnPNovelFromCuttingboardToTieredbasketSplitA
arms,0.0011936438561760726,0.03293070197105408,2.757501506645464e-06,114688,0.0016605726441940034,PnPNovelFromPlacematToBasketSplitA
hands,0.00033107521401339507,0.029066238552331924,8.612059821729991e-07,98304,0.0009280118437676316,PnPNovelFromPlacematToBasketSplitA
left_arm,0.0010651517921613785,0.026912346482276917,2.2106307320528063e-06,57344,0.0014868189977441122,PnPNovelFromPlacematToBasketSplitA
left_hand,0.00033961700173223974,0.029066238552331924,7.795469964538864e-07,49152,0.0008829195866294317,PnPNovelFromPlacematToBasketSplitA
right_arm,0.001322135920190767,0.03293070197105408,3.3043722812381143e-06,57344,0.001817793244909364,PnPNovelFromPlacematToBasketSplitA
right_hand,0.00032253342629455045,0.025035828351974487,9.428649678921107e-07,49152,0.0009710123417815609,PnPNovelFromPlacematToBasketSplitA
waist,0.0013306804978536018,0.02034296840429306,3.3646365874690112e-06,24576,0.001834294574889489,PnPNovelFromPlacematToBasketSplitA
arms,0.001166688761527368,0.02121599018573761,2.5093100809091285e-06,114688,0.0015840802002768447,PnPNovelFromPlacematToBowlSplitA
hands,0.00031953174191667877,0.02610151469707489,7.225672125004234e-07,98304,0.0008500395358454943,PnPNovelFromPlacematToBowlSplitA
left_arm,0.001044097096058191,0.02121599018573761,2.0279984831272515e-06,57344,0.001424078116932934,PnPNovelFromPlacematToBowlSplitA
left_hand,0.00033430668947416936,0.024434834718704224,6.61372549018326e-07,49152,0.0008132481472578502,PnPNovelFromPlacematToBowlSplitA
right_arm,0.001289280426996545,0.020910978317260742,2.9906216786910055e-06,57344,0.0017293414002709255,PnPNovelFromPlacematToBowlSplitA
right_hand,0.0003047567943591882,0.02610151469707489,7.83761875982522e-07,49152,0.0008853032678029162,PnPNovelFromPlacematToBowlSplitA
waist,0.0013023075345373059,0.04886104166507721,3.3329739391664552e-06,24576,0.0018256434315513134,PnPNovelFromPlacematToBowlSplitA
arms,0.0011735228929786576,0.03692328929901123,2.614180788944035e-06,114688,0.0016168428460874096,PnPNovelFromPlacematToPlateSplitA
hands,0.0003185758873768633,0.03661684691905975,7.777184041310008e-07,98304,0.0008818834413520876,PnPNovelFromPlacematToPlateSplitA
left_arm,0.0010399258437019704,0.03692328929901123,2.059472944329088e-06,57344,0.0014350863891519172,PnPNovelFromPlacematToPlateSplitA
left_hand,0.0003276233876807015,0.03234054520726204,6.079155708698122e-07,49152,0.0007796894066676885,PnPNovelFromPlacematToPlateSplitA
right_arm,0.0013071199422553445,0.028238892555236816,3.168888633558988e-06,57344,0.0017801372513261409,PnPNovelFromPlacematToPlateSplitA
right_hand,0.00030952838707302516,0.03661684691905975,9.475212373921892e-07,49152,0.000973407025551074,PnPNovelFromPlacematToPlateSplitA
waist,0.0013031433363413687,0.028153717517852783,3.3395239949337793e-06,24576,0.0018274364544174386,PnPNovelFromPlacematToPlateSplitA
arms,0.001180662898306333,0.09038481116294861,2.833193119447631e-06,114688,0.0016832091728147252,PnPNovelFromPlacematToTieredshelfSplitA
hands,0.00032588987616462745,0.025721589103341103,8.07298059730769e-07,98304,0.0008984976681832675,PnPNovelFromPlacematToTieredshelfSplitA
left_arm,0.0010450517330383238,0.03705325722694397,2.14607876678105e-06,57344,0.0014649500902013863,PnPNovelFromPlacematToTieredshelfSplitA
left_hand,0.0003435991378762567,0.022475510835647583,7.698520333250277e-07,49152,0.0008774121228505039,PnPNovelFromPlacematToTieredshelfSplitA
right_arm,0.0013162740635743425,0.09038481116294861,3.520307472114217e-06,57344,0.0018762482437338127,PnPNovelFromPlacematToTieredshelfSplitA
right_hand,0.0003081806144529982,0.025721589103341103,8.447440861365096e-07,49152,0.0009190996062106161,PnPNovelFromPlacematToTieredshelfSplitA
waist,0.001303869695525132,0.03075990080833435,3.4574973711017687e-06,24576,0.0018594346912709165,PnPNovelFromPlacematToTieredshelfSplitA
arms,0.0011734746004564225,0.03733545541763306,2.685486034480103e-06,114688,0.0016387452622296434,PnPNovelFromPlateToBowlSplitA
hands,0.0003094043258774863,0.03976285457611084,6.382907256767454e-07,98304,0.0007989309893080537,PnPNovelFromPlateToBowlSplitA
left_arm,0.001047994953625445,0.03353840112686157,2.1171686095131946e-06,57344,0.0014550493495112786,PnPNovelFromPlateToBowlSplitA
left_hand,0.0003218951919962502,0.013880141079425812,5.297022145543314e-07,49152,0.0007278064403083635,PnPNovelFromPlateToBowlSplitA
right_arm,0.0012989542472874,0.03733545541763306,3.2538034594470225e-06,57344,0.0018038302191301216,PnPNovelFromPlateToBowlSplitA
right_hand,0.00029691345975872235,0.03976285457611084,7.468792367991591e-07,49152,0.0008642217520978971,PnPNovelFromPlateToBowlSplitA
waist,0.0013096573099199797,0.036069780588150024,3.3947981746535173e-06,24576,0.0018424978085885251,PnPNovelFromPlateToBowlSplitA
arms,0.001217017020907691,0.049096763134002686,3.0792221653447686e-06,114688,0.0017547712572710918,PnPNovelFromPlateToCardboardboxSplitA
hands,0.0003163308785479509,0.0305933877825737,6.869295976559379e-07,98304,0.0008288121606588177,PnPNovelFromPlateToCardboardboxSplitA
left_arm,0.001086935687224257,0.049096763134002686,2.487119576180072e-06,57344,0.0015770604224886477,PnPNovelFromPlateToCardboardboxSplitA
left_hand,0.00032344055615481554,0.014665301889181137,5.49335809466076e-07,49152,0.0007411719162691446,PnPNovelFromPlateToCardboardboxSplitA
right_arm,0.0013470983545911253,0.03227695822715759,3.671324754509449e-06,57344,0.001916070132982989,PnPNovelFromPlateToCardboardboxSplitA
right_hand,0.00030922120094108624,0.0305933877825737,8.245233858457996e-07,49152,0.0009080327008680908,PnPNovelFromPlateToCardboardboxSplitA
waist,0.0013420845178349812,0.05262097716331482,4.0642260463079895e-06,24576,0.002015992570995238,PnPNovelFromPlateToCardboardboxSplitA
arms,0.0011921994068042618,0.03177165985107422,2.7664702679708958e-06,114688,0.0016632709544661976,PnPNovelFromPlateToPanSplitA
hands,0.0003137883037079847,0.04052305221557617,6.628993732666601e-07,98304,0.0008141863258902474,PnPNovelFromPlateToPanSplitA
