mae,max_abs,mse,n_values,phase,rmse,task
0.0039850029393258815,0.040664345026016235,4.337502404879675e-05,2320,traj_q2,0.006585971761919174,PnPNovelFromPlateToCardboardboxSplitA
0.003330375429856037,0.04327118396759033,3.179459224492385e-05,2320,traj_q3,0.005638669368292829,PnPNovelFromPlateToCardboardboxSplitA
0.0032099876364962508,0.023379262536764145,2.5765038195181984e-05,1856,traj_q4,0.005075927323670226,PnPNovelFromPlateToCardboardboxSplitA
0.003939407322675457,0.08040161430835724,4.9769149939410074e-05,3712,traj_q1,0.0070547253624368735,PnPNovelFromPlateToPanSplitA
0.00348696361106704,0.04778808355331421,3.360477048397426e-05,1856,traj_q2,0.005796962177207495,PnPNovelFromPlateToPanSplitA
0.0035187817671800893,0.02634558081626892,3.273271717040929e-05,928,traj_q3,0.005721251364029489,PnPNovelFromPlateToPanSplitA
0.003245075041722257,0.02899026870727539,2.6529553409426903e-05,928,traj_q4,0.005150684751508958,PnPNovelFromPlateToPanSplitA
0.0035921456689522176,0.07105055451393127,4.620400960627764e-05,1392,traj_q1,0.006797353132380106,PnPNovelFromPlateToPlateSplitA
0.004759830664938661,0.046806126832962036,6.793549095614021e-05,928,traj_q2,0.008242298887818873,PnPNovelFromPlateToPlateSplitA
0.0031839083649488047,0.03428114950656891,2.480162894331023e-05,1856,traj_q3,0.0049801233863540195,PnPNovelFromPlateToPlateSplitA
0.0029698236032318567,0.0300503671169281,2.2865974196002363e-05,3248,traj_q4,0.004781837951666949,PnPNovelFromPlateToPlateSplitA
0.0033212145013184736,0.11087790131568909,5.066572124612077e-05,2320,traj_q1,0.00711798575765088,PnPNovelFromTrayToCardboardboxSplitA
0.0028220879741387888,0.024116158485412598,2.0907357885686894e-05,1856,traj_q2,0.004572456438905339,PnPNovelFromTrayToCardboardboxSplitA
0.0031355877459834027,0.02997414767742157,2.53622123724796e-05,1392,traj_q3,0.005036090981354447,PnPNovelFromTrayToCardboardboxSplitA
0.002877941308129109,0.026460230350494385,2.126153415884019e-05,1856,traj_q4,0.004611023114108212,PnPNovelFromTrayToCardboardboxSplitA
0.0036794990410271566,0.10076133161783218,4.7575512575451584e-05,2320,traj_q1,0.006897500458532177,PnPNovelFromTrayToPlateSplitA
0.0033231633197442273,0.0245513916015625,2.682445425954038e-05,1392,traj_q2,0.005179232979847535,PnPNovelFromTrayToPlateSplitA
