group,mae,max_abs,mse,n_values,rmse,task
left_arm,0.005379102173589802,0.04486098885536194,5.5260747781624426e-05,1792,0.007433757312532097,PnPNovelFromPlateToPlateSplitA
left_hand,0.0003848153003976525,0.0038170218467712402,3.15170220008645e-07,1536,0.000561400231571599,PnPNovelFromPlateToPlateSplitA
right_arm,0.005876009104602937,0.05032271146774292,6.418902760368005e-05,1792,0.008011805514594076,PnPNovelFromPlateToPlateSplitA
right_hand,0.0005003947045831106,0.0042226314544677734,6.942676947341235e-07,1536,0.0008332272767583426,PnPNovelFromPlateToPlateSplitA
waist,0.004484203956659864,0.07105055451393127,4.173975307177803e-05,768,0.0064606310118887015,PnPNovelFromPlateToPlateSplitA
arms,0.005215874754883641,0.10553421080112457,5.300706238938055e-05,3584,0.00728059492001722,PnPNovelFromTrayToCardboardboxSplitA
hands,0.00034159199752063313,0.0034399032592773438,2.7049223188124675e-07,3072,0.0005200886769400453,PnPNovelFromTrayToCardboardboxSplitA
left_arm,0.004898944917337238,0.10553421080112457,4.985734077535103e-05,1792,0.007060973075671018,PnPNovelFromTrayToCardboardboxSplitA
left_hand,0.0003392155983116633,0.0031921863555908203,2.523070758958519e-07,1536,0.0005023017777152017,PnPNovelFromTrayToCardboardboxSplitA
right_arm,0.005532804592430044,0.0489514023065567,5.6156784003410074e-05,1792,0.007493783023507557,PnPNovelFromTrayToCardboardboxSplitA
right_hand,0.00034396839672960294,0.0034399032592773438,2.886773878666416e-07,1536,0.0005372870628133918,PnPNovelFromTrayToCardboardboxSplitA
waist,0.0037840421816023686,0.11087790131568909,5.248160521908194e-05,768,0.007244418901408306,PnPNovelFromTrayToCardboardboxSplitA
arms,0.005514306599739679,0.10076133161783218,5.75372254326652e-05,3584,0.007585329619249594,PnPNovelFromTrayToPlateSplitA
hands,0.0004654706060118012,0.006932854652404785,6.228122721329117e-07,3072,0.0007891845615145494,PnPNovelFromTrayToPlateSplitA
left_arm,0.00514621537714837,0.036780066788196564,4.6947267523304056e-05,1792,0.006851807609916091,PnPNovelFromTrayToPlateSplitA
left_hand,0.000403604540527643,0.0036448240280151367,3.283305884099058e-07,1536,0.0005730013860453619,PnPNovelFromTrayToPlateSplitA
right_arm,0.005882397822330988,0.10076133161783218,6.812718334202633e-05,1792,0.00825391927159615,PnPNovelFromTrayToPlateSplitA
right_hand,0.0005273366714959593,0.006932854652404785,9.172939558559175e-07,1536,0.0009577546428266049,PnPNovelFromTrayToPlateSplitA
waist,0.003904755236969019,0.05510663986206055,3.483187654486577e-05,768,0.005901853653291123,PnPNovelFromTrayToPlateSplitA
arms,0.005607298501753836,0.058323778212070465,5.6790122045288043e-05,3584,0.007535922109820937,PnPNovelFromTrayToPotSplitA
hands,0.00039059338689639844,0.004858255386352539,3.7057533884128626e-07,3072,0.0006087489949406786,PnPNovelFromTrayToPotSplitA
left_arm,0.005458143094106812,0.058323778212070465,5.8678797073480186e-05,1792,0.007660208683415889,PnPNovelFromTrayToPotSplitA
left_hand,0.0003703728689288255,0.004858255386352539,2.945286726729777e-07,1536,0.0005427049591379995,PnPNovelFromTrayToPotSplitA
right_arm,0.005756453909400859,0.035294562578201294,5.490144701709591e-05,1792,0.007409551067176466,PnPNovelFromTrayToPotSplitA
right_hand,0.0004108139048639714,0.0034221410751342773,4.46622005009595e-07,1536,0.0006682978415419244,PnPNovelFromTrayToPotSplitA
waist,0.0034187353934006146,0.05051283538341522,2.5117219510533946e-05,768,0.005011708242758545,PnPNovelFromTrayToPotSplitA
arms,0.0056753593331840034,0.09887638688087463,6.748038696887674e-05,3584,0.008214644664796935,PnPNovelFromTrayToTieredbasketSplitA
hands,0.00043977566679131996,0.007184863090515137,5.320564981326848e-07,3072,0.0007294220301942386,PnPNovelFromTrayToTieredbasketSplitA
left_arm,0.00536065998104667,0.09887638688087463,6.221154515372787e-05,1792,0.007887429565690452,PnPNovelFromTrayToTieredbasketSplitA
