step,series,action_loss,token_accuracy
79250,当前重启 E256,1.5420056689869275,0.4997136078097604
79500,当前重启 E256,1.5305808565833352,0.5041296156969938
79750,当前重启 E256,1.522065747867931,0.5064321187409487
80000,当前重启 E256,1.5115347450429744,0.5091470209035006
80250,当前重启 E256,1.5176705447110264,0.5080988678065214
80500,当前重启 E256,1.513884338465604,0.5088262720541521
80750,当前重启 E256,1.52172542702068,0.5040952427820726
81000,当前重启 E256,1.515704794363542,0.5072397237474268
81250,当前重启 E256,1.5132436535575173,0.5089064728129994
81500,当前重启 E256,1.5137007995085283,0.507342820817774
81750,当前重启 E256,1.5172392888502642,0.5064722191203724
82000,当前重启 E256,1.5233534357764504,0.5061514675617218
82250,当前重启 E256,1.5136487809094517,0.5089179114861921
82500,当前重启 E256,1.5106994997371326,0.5084940682757985
82750,当前重启 E256,1.5097269144925205,0.5079614086584612
83000,当前重启 E256,1.5047968951138584,0.5090439373796637
83250,当前重启 E256,1.5115117918361316,0.5059166388078169
83500,当前重启 E256,1.5091862136667424,0.5075719248164784
83750,当前重启 E256,1.5072173205288975,0.509038204496557
84000,当前重启 E256,1.5241464376449585,0.5042155330831354
84250,当前重启 E256,1.5310417847199873,0.5030241798270833
84500,当前重启 E256,1.5229280320080845,0.5049486675045707
84750,当前重启 E256,1.51743868264285,0.505647439848293
85000,当前重启 E256,1.5107310576872393,0.5091756609353152
85250,当前重启 E256,1.5055047273635864,0.5107278525829315
85500,当前重启 E256,1.507426847111095,0.5097885186021979
85750,当前重启 E256,1.5156528407877141,0.507600570266897
86000,当前重启 E256,1.5127652558413418,0.5069189830259844
86250,当前重启 E256,1.511560472575101,0.5072970011017539
86500,当前重启 E256,1.5080267732793635,0.5087117227641019
86750,当前重启 E256,1.512372461232272,0.5078754885630175
87000,当前重启 E256,1.5092106515711003,0.5095078647136688
87250,当前重启 E256,1.5175847140225498,0.5069132420149717
87500,当前重启 E256,1.5149406303058972,0.5062259191816504
87750,当前重启 E256,1.5163172483444214,0.5058364380489696
88000,当前重启 E256,1.5163487195968628,0.5070678862658414
88250,当前重启 E256,1.5054703192277388,0.5115125341848894
88500,当前重启 E256,1.497321291403337,0.5138952298597856
88750,当前重启 E256,1.486295223236084,0.5172860026359558
89000,当前重启 E256,1.490279663692821,0.5138265084136616
89250,当前重启 E256,1.5015419396487149,0.5110199614004656
89500,当前重启 E256,1.5073754462328823,0.5108195001428778
89750,当前重启 E256,1.4987865686416626,0.5139124312184074
90000,当前重启 E256,1.4916581457311457,0.5155276222662493
90250,当前重启 E256,1.4885441173206677,0.5152068679982965
90500,当前重启 E256,1.498465440490029,0.5127382549372587
90750,当前重启 E256,1.51194044676694,0.5092787634242665
91000,当前重启 E256,1.5069957429712468,0.5118046457117255
91250,当前重启 E256,1.4979655959389426,0.5139926021749323
91500,当前重启 E256,1.4961589249697598,0.512675241990523
91750,当前重启 E256,1.5062467943538318,0.5087059871716932
92000,当前重启 E256,1.5013713511553677,0.5101894492452795
92250,当前重启 E256,1.505720929665999,0.510756481777538
92500,当前重启 E256,1.5074119026010686,0.5118275501511313
92750,当前重启 E256,1.496591026132757,0.5138551430268721
93000,当前重启 E256,1.4926297447898171,0.5154073346744884
93250,当前重启 E256,1.4953679279847578,0.513786413452842
93500,当前重启 E256,1.48659301887859,0.5154531543905084
93750,当前重启 E256,1.4896467924118042,0.5153844193978743
94000,当前重启 E256,1.494176203554327,0.5142732533541593
94250,当前重启 E256,1.5039554834365845,0.512451870874925
94500,当前重启 E256,1.4945094368674539,0.5146570151502435
94750,当前重启 E256,1.4895372499119153,0.5149262141097676
95000,当前重启 E256,1.496527823534879,0.5135859440673481
95250,当前重启 E256,1.5002651539715854,0.5116557289253582
95500,当前重启 E256,1.5052642605521462,0.5103555565530603
250,首次 E256（止于 30.2k）,5.325823402404785,0.03626511986367405
